Ano Letivo;Nome;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP
2022;Aluno-141;Ametista;7,1;4;9,2;8,2;5,6;5,7;5,9;10;6,6
2022;Aluno-38;Topázio;8,5;4;9,2;8,9;7,5;8,6;9,8;5;8,7
2022;Aluno-144;Topázio;8,2;4;7,5;9,3;5;7,9;8,3;10;8,5
2022;Aluno-2;Ametista;7,1;4;8,8;5,2;6,3;6,8;6,8;10;8,3
2023;Aluno-123;Ágata;6,1;4;0;9,4;5;5,7;6,8;5;6,9
2023;Aluno-110;Topázio;8,1;4;8,3;8,6;5;7,5;8,3;10;8,8
2022;Aluno-195;Ametista;8;4;8,8;9,2;5;6,3;8,2;10;8,8
2022;Aluno-4;Quartzo;6;4;8,8;4,5;5,6;5;5,3;10;6
2023;Aluno-276;Ágata;6,7;4;6,3;8,5;2,5;5,5;6,6;10;7
2022;Aluno-198;Quartzo;5,6;4;0;6,2;5;4,6;6;10;7,4
2022;Aluno-202;Quartzo;5,2;4;0;5,2;4,4;5,4;6,9;5;7,6
2022;Aluno-165;Topázio;8,1;4;7,1;9,8;5,6;7,6;7,5;10;8,5
2022;Aluno-228;Ágata;6,2;4;7,5;6,7;7,5;4,8;6,4;5;6,2
2023;Aluno-144;Quartzo;5;4;0;5,2;2,5;4,4;6;10;6,2
2023;Aluno-145;Ágata;6,5;4;7,9;9;4,7;6,2;7,5;2,5;8
2022;Aluno-517;Ametista;7,6;3;6,9;9,5;7,5;7,7;7,8;5;6,6
2022;Aluno-158;Ametista;7,3;4;7,9;9,8;5,6;6,6;8,1;2,5;8
2023;Aluno-397;Ágata;6,2;4;7,5;7,9;2,5;4,6;7,5;5;7,2
2023;Aluno-70;Ágata;6,9;4;9,2;9,2;5;4,3;7,5;5;7,5
2022;Aluno-154;Ágata;6,1;4;8,3;6,1;6,3;4;6,8;5;7,6
2023;Aluno-141;Ágata;6,7;4;9,6;8,4;5,6;4,5;7;5;7
2022;Aluno-7;Ágata;6,8;4;0;8,4;7,5;7,6;7,7;5;8,1
2023;Aluno-7;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2023;Aluno-340;Ametista;7,1;3;0;9,6;2,5;8,9;8,5;5;9,2
2022;Aluno-145;Quartzo;5,8;4;0;6,3;8,1;5,2;7,2;5;7,5
2023;Aluno-517;Ágata;6,3;3;4,1;9;2,5;6,6;6,7;5;6,9
2022;Aluno-98;Topázio;9,4;4;8,8;10;9,4;8,5;9,7;10;9,4
2022;Aluno-113;Quartzo;3;4;0;0;5;3,7;3,8;5;5
2022;Aluno-70;Quartzo;5,7;4;8,8;6,6;5;2,9;6,1;5;7
2023;Aluno-332;Topázio;8;4;9,2;8,4;8,8;6,8;9,2;5;8,3
2022;Aluno-76;Topázio;9,1;4;10;9,1;8,1;8,7;9,3;10;8,7
2023;Aluno-57;Ágata;6,5;4;0;8;5,6;7,2;7,8;5;8
2022;Aluno-97;Ametista;7,5;4;7,5;8,8;5;6,9;6,3;10;8,5
2023;Aluno-58;Ametista;7,7;4;0;9,7;6,3;8,1;8,4;10;8,4
2022;Aluno-397;Quartzo;5,9;3;9;5,7;6,9;2,8;7,2;5;6,7
2022;Aluno-384;Ametista;7,6;3;9;8,4;6,3;8,1;8;5;6,7
2022;Aluno-382;Ágata;6,8;3;9;7,7;6,3;5,4;7,3;5;6,9
2023;Aluno-249;Quartzo;5,4;4;0;8,2;5;4,9;6,5;5;5,2
2023;Aluno-380;Quartzo;4,9;4;0;6,4;2,5;4,5;6,5;5;6,7
2022;Aluno-80;Ametista;7,3;4;9,2;8,3;5;7,1;7,6;5;7,8
2022;Aluno-58;Topázio;8,1;3;9,6;9,2;6,3;7,2;8,1;10;6,1
2023;Aluno-48;Ametista;7,8;4;6,7;8,4;6,3;7,7;7,6;10;7,7
2022;Aluno-55;Ágata;6,6;3;7,1;7,6;5,6;7,5;6,5;5;5,1
2023;Aluno-80;Ametista;7,3;4;8,3;8,4;6,9;6,3;7,5;5;8
2022;Aluno-380;Quartzo;4,6;3;7,9;4,4;5;2,5;4,8;5;4,7
2023;Aluno-76;Ametista;7,9;0;10;9,8;2,5;7;8,2;10;8
2022;Aluno-48;Ametista;8;3;6,7;8,4;7,5;8,1;8,5;10;5,8
2023;Aluno-382;Ágata;6,2;4;0;9,4;6,3;5,2;7,2;5;7,5
